wavelength_nm,out_1,out_2,out_3,out_4
1542.0,0.0014144668029978259,4.444161525675825e-06,0.0005521166167742392,0.0002962937360769671
1542.005,0.001441205844745234,2.7958872027889686e-06,0.0005458846112733369,0.00030213271113778737
1542.01,0.001467747164434918,1.525333684495592e-06,0.0005394915693317243,0.0003079305665644312
1542.015,0.0014940730187866878,6.352910564983423e-07,0.0005329417820345464,0.00031368338679385957
1542.02,0.0015201657443821338,1.2829782139357583e-07,0.000526239661524747,0.0003193872780274398
1542.025,0.0015460077701179695,6.6383127011065e-09,0.0005193897383130947,0.00032503837096440274
1542.03,0.0015715816296277003,2.7234027510782857e-07,0.0005123966585039734,0.000330632823521037
1542.035,0.0015968699737011632,9.271726123999807e-07,0.0005052651809288587,0.00033616682354204613
1542.04,0.0016218555826557524,1.9726433053586963e-06,0.0004980001741991632,0.0003416365914939523
1542.045,0.0016465213786880577,3.4099975020049577e-06,0.0004906066136700611,0.00034703838314679525
1542.05,0.001670850438160509,5.240215781113819e-06,0.0004830895783274821,0.00035236849223423047
1542.055,0.0016948260038509857,7.464012592298072e-06,0.0004754542475896126,0.0003576232530980795
1542.06,0.0017184314971207823,1.0081834872216165e-05,0.0004677058980356283,0.0003627990433076438
1542.065,0.0017416505300279497,1.3093860841122254e-05,0.00045984990005275327,0.0003678922862596789
1542.07,0.0017644669173424944,1.6499998977924145e-05,0.0004518917144148037,0.0003728994537495405
1542.075,0.0017868646884894354,2.0299887178885057e-05,0.00044383688878308193,0.00037781706851921197
1542.08,0.0018088280993772859,2.44928920967535e-05,0.0004356910541432688,0.00038264170677301427
1542.085,0.0018303416441368904,2.907810866636571e-05,0.0004274599211689358,0.0003873700006664332
1542.09,0.0018513900667294842,3.40543598121003e-05,0.00041914927652575136,0.0003919986407591979
1542.095,0.0018719583724477484,3.9420196344140266e-05,0.0004107649791067977,0.00039652437843781216
1542.1,0.0018920318392700649,4.517389703753909e-05,0.0004023129562134481,0.0004009440282989492
1542.105,0.0019115960290904883,5.131346890193562e-05,0.0003937991996721031,0.00040525447049871054
1542.11,0.0019306367987862783,5.783664763450905e-05,0.0003852297619015326,0.000409452653059459
1542.115,0.0019491403111440572,6.474089826491211e-05,0.00037661075192098754,0.0004135355941389806
1542.12,0.001967093045608099,7.202341598340472e-05,0.0003679483313141283,0.0004175003842540681
1542.125,0.001984481808870482,7.968112716178636e-05,0.0003592487101388645,0.0004213441884629541
1542.13,0.0020012937452690656,8.771069055733217e-05,0.00035051814279797176,0.0004250642484992795
1542.135,0.002017516347006315,9.610849870758427e-05,0.0003417629238632908,0.00042865788486057065
1542.14,0.0020331374641724947,0.00010487067951273737,0.0003329893838602297,0.00043212249884776497
1542.145,0.002048145314558869,0.00011399309800097783,0.0003242038850193116,0.00043545557455275765
1542.15,0.0020625284932714403,0.0001234713582859957,0.00031541281698762224,0.00043865468079647715
1542.155,0.0020762759821158746,0.0001333008057035663,0.0003066225925153555,0.0004417174730111485
1542.16,0.002089377158768211,0.00014347652913964325,0.00029783964310755575,0.00044464169507020827
1542.165,0.00210182180570326,0.00015399336353522563,0.00028907041465672806,0.00044742518105978435
1542.17,0.0021136001188937284,0.0001648458925811704,0.00028032136304646636,0.00045006585699486546
1542.175,0.002124702716254073,0.0001760284515869358,0.00027159894974180816,0.0004525617424745903
1542.18,0.0021351206458404782,0.00018753513053721565,0.0002629096373565398,0.00045491095227940875
1542.185,0.0021448453937832077,0.00019935977731921418,0.00025425988521315663,0.00045711169790503764
1542.19,0.002153868891961055,0.00021149600113518907,0.0002456561448858064,0.00045916228903564047
1542.195,0.0021621835253964037,0.00022393717608180388,0.00023710485574186894,0.00046106113495163247
1542.2,0.0021697821393789345,0.0002366764449116475,0.00022861244047263406,0.0004628067458742144
1542.205,0.002176658046298859,0.00024970672295730663,0.0002201853006286349,0.0004643977342425358
1542.21,0.0021828050321959862,0.0002630207022339217,0.00021182981215026324,0.00046583281592523586
1542.215,0.0021882173630078917,0.00027661085569953163,0.0002035523209090765,0.00046711081136280986
1542.22,0.0021928897905217942,0.0002904694416897786,0.00019535913825062282,0.000468230646642166
1542.225,0.0021968175580158403,0.0003045885085051552,0.00018725653655400181,0.0004691913545003769
1542.23,0.0021999964055926568,0.00031895989916795955,0.00017925074479920784,0.0004699920752586188
1542.235,0.002202422575193408,0.0003335752563261147,0.00017134794415724343,0.00047063205768385055
1542.24,0.00220409281529339,0.00034842602732154264,0.00016355426359429776,0.0004711106597788647
1542.245,0.00220500438527002,0.0003635034693992826,0.0001558757755046988,0.00047142734949881537
1542.25,0.002205155059442438,0.0003787986550755313,0.00014831849136421463,0.00047158170539448463
1542.255,0.0022045431307761345,0.0003943024776405843,0.00014088835741775114,0.00047157341718095615
1542.26,0.0022031674142503543,0.0004100056568103447,0.00013359125039567318,0.0004714022862316119
1542.265,0.002201027249883308,0.000425898744516421,0.00012643297326541192,0.0004710682259965898
1542.27,0.0021981225054132007,0.00044197213082394646,0.00011941925102454326,0.000470571262345494
1542.275,0.0021944535786296857,0.0004582160499915386,0.00011255572653015514,0.0004699115338336028
1542.28,0.0021900213993558057,0.0004746205866472863,0.00010584795637753785,0.0004690892918916985
1542.285,0.002184827431073439,0.0004911756821003465,9.930140682096041e-05,0.0004681049009384664
1542.29,0.0021788736721949655,0.0005078711407606487,9.29214497494522e-05,0.00046695883841615623
1542.295,0.002172162656972392,0.0005246966366865732,8.671335871071427e-05,0.0004656516947480908
1542.3,0.0021646974560493603,0.0005416417202324599,8.068230499561334e-05,0.0004641841732192799
1542.305,0.002156481676645498,0.0005586958248160565,7.483335377677637e-05,0.0004625570897783599
1542.31,0.002147519462381228,0.0005758482737771943,6.9171460313172e-05,0.0004607713727627007
1542.315,0.0021378154927307906,0.0005930882873479814,6.370146621465509e-05,0.0004588280625445367
1542.32,0.002127374982114253,0.0006104049897053131,5.842809577777753e-05,0.00045672831110053145
1542.325,0.00211620367861454,0.0006277874161261211,5.3355952387302784e-05,0.0004544733815022688
1542.33,0.0021043078623329543,0.0006452245202157332,4.84895149940563e-05,0.0004520646473306652
1542.335,0.0020916943433675526,0.0006627051812298616,4.383313466408957e-05,0.00044950359201143306
1542.34,0.002078370459430449,0.0006802182114602292,3.939103120911186e-05,0.00044679180807515745
1542.345,0.0020643440730867975,0.0006977523637043917,3.5167289893648594e-05,0.00044393099633876294
1542.35,0.002049623568634155,0.0007152963387894991,3.1165858228186845e-05,0.0004409229650124898
1542.355,0.0020342178486033604,0.0007328387931704933,2.739054284430773e-05,0.0004377696287288311
1542.36,0.002018136329902198,0.0007503683465723859,2.3845006460333478e-05,0.00043447300749808505
1542.365,0.0020013889395814628,0.0007678735896969193,2.053276493400691e-05,0.00043103522558664075
1542.37,0.0019839861102471774,0.0007853430919631901,1.7457184409975218e-05,0.00042745851032319123
1542.375,0.001965938775097157,0.0008027654093024604,1.4621478559169133e-05,0.00042374519082868164
1542.38,0.0019472583626072115,0.0008201290919774368,1.2028705916930478e-05,0.00041989769667552724
1542.385,0.0019279567908498014,0.0008374226924405237,9.681767318338435e-06,0.00041591855647283313
1542.39,0.0019080464614546872,0.0008546347732179331,7.583403434430998e-06,0.0004118103963799178
1542.395,0.0018875402532236344,0.0008717539148064517,5.7361924121253975e-06,0.00040757593855090293
1542.4,0.001866451515379578,0.0008887687235972368,4.142547617272929e-06,0.0004032179995066612
1542.405,0.0018447940604814413,0.0009056678397969013,2.804715485634389e-06,0.000398739488440825
1542.41,0.0018225821569781593,0.0009224399453655427,1.7247734808658995e-06,0.0003941434054547228
1542.415,0.0017998305214361398,0.0009390737719414699,9.046281635676592e-07,0.0003894328397285924
1542.42,0.0017765543104124703,0.0009555581087718441,3.4601337109276473e-07,0.0003846109676236462
1542.425,0.0017527691120102131,0.0009718818106193662,5.0488511271099005e-08,0.00037968105072280555
1542.43,0.0017284909370870749,0.000988033805663735,1.943697035768087e-08,0.0003746464338044276
1542.435,0.0017037362101557697,0.0010040031033685009,2.540646374553861e-07,0.00036951054275726316
1542.44,0.0016785217599463566,0.0010197788023315738,7.553985463377661e-07,0.0003642768824307468
1542.445,0.0016528648096707575,0.0010353500980904266,1.5242856359983353e-06,0.0003589490344292525
1542.45,0.0016267829669588461,0.0010507062908997379,2.5613916314724923e-06,0.0003535306548442107
1542.455,0.0016002942135081369,0.0010658367934531451,3.8672000453274156e-06,0.0003480254719330948
1542.46,0.0015734168944156282,0.0010807311385662884,5.442011301984738e-06,0.000342437283738977
1542.465,0.001546169707235436,0.001095378986793382,7.285941984332708e-06,0.000336769955660021
1542.47,0.0015185716907301435,0.0011097701339939034,9.398924205411126e-06,0.00033102741796243106
1542.475,0.0014906422133610757,0.0011238945188224026,1.1780705103680805e-05,0.0003252136632465609
1542.48,0.0014624009614847067,0.0011377422301573664,1.4430846465277588e-05,0.0003193327438595165
1542.485,0.0014338679273018702,0.0011513035144428486,1.7348724470813907e-05,0.0003133887692643039
1542.49,0.0014050633965264879,0.0011645687829581843,2.0533529570741413e-05,0.0003073859033586891
1542.495,0.00137600793582185,0.0011775286189903082,2.3984266485887464e-05,0.00030132836175408693
1542.5,0.0013467223799705436,0.001190173784923303,2.7699754337787472e-05,0.0002952204090075398
1542.505,0.001317227818826069,0.0012024952292211742,3.167862690466401e-05,0.0002890663558170801
1542.51,0.001287545584021264,0.0012144840933137585,3.5919333006968815e-05,0.00028287055617539134
1542.515,0.0012576972354543874,0.0012261317183744362,4.0420137021340776e-05,0.0002766374044863671
1542.52,0.001227704547574824,0.0012374296519795604,4.517911952077836e-05,0.0002703713326492638
1542.525,0.001197589495442947,0.0012483696546579954,5.019417804602262e-05,0.00026407680710535073
1542.53,0.0011673742406146175,0.0012589437063095503,5.546302800158507e-05,0.00025775832585771084
1542.535,0.0011370811168156369,0.001269144012503887,6.0983203683152886e-05,0.0002514204154571002
1542.54,0.0011067326154585405,0.0012789630106392693,6.675205942872592e-05,0.00024506762796495837
1542.545,0.0010763513709671248,0.0012883933759718367,7.276677090077849e-05,0.00023870453788643275
1542.55,0.0010459601459616432,0.0012974280274959805,7.902433649087205e-05,0.0002323357390846549
1542.555,0.0010155818162701719,0.0013060601336855758,8.552157885457707e-05,0.00022596584166908085
1542.56,0.000985239355819498,0.0013142831180779238,9.225514656724517e-05,0.00021959946886921741
1542.565,0.0009549558213712513,0.001322090664709193,9.922151590901686e-05,0.00021324125388658922
1542.57,0.0009247543371569138,0.0013294767233845532,0.00010641699276871133,0.00020689583673631087
1542.575,0.0008946580793776711,0.0013364355147907842,0.00011383771467551603,0.0002005678610711314
1542.58,0.0008646902606229964,0.001342961535435948,0.00012147965294728139,0.0001942619709993272
1542.585,0.0008348741141742116,0.0013490495624228973,0.0001293386149648126,0.00018798280788939406
1542.59,0.0008052328782469559,0.001354694658042627,0.00013741024656015172,0.00018173500717289968
