arm_index,relative_length_um
0,0.0
1,30.990668646375973
2,61.981337292751946
3,92.97200593912791
4,123.96267458550389
5,154.95334323187987
6,185.94401187825583
7,216.9346805246318
8,247.92534917100778
9,278.91601781738375
10,309.90668646375973
11,340.8973551101357
12,371.88802375651166
13,402.87869240288764
14,433.8693610492636
15,464.8600296956396
