label,wavelength_nm,array_count,slab_length_um,array_pitch_um,output_pitch_um,output_offset_um,estimated_cost,dominant_output,dominant_fraction,second_to_first,quality,out_1,out_2,out_3,out_4
impr_A_n24,1547.6,24,55.0,1.2,1.6,0.6,0.10290216144604292,1,0.3126843389986627,0.8457506502331252,passing,0.9462969899177551,0.6078208684921265,0.8003312945365906,0.6719160079956055
impr_A_n24,1549.2,24,55.0,1.2,1.6,0.6,0.10287198440499293,2,0.39323670336253086,0.8219100485198787,passing,0.21258631348609924,1.0773824453353882,0.5643007755279541,0.8855114579200745
impr_A_n24,1550.8,24,55.0,1.2,1.6,0.6,0.10284816624540391,2,0.4053691183566511,0.9773971123003105,poor,1.046813726425171,1.0710219144821167,0.22935287654399872,0.2949020266532898
impr_A_n24,1552.4,24,55.0,1.2,1.6,0.6,0.10270488522400976,2,0.39489786036228275,0.6345415926748235,passing,0.6455782055854797,1.6877089738845825,0.8695773482322693,1.070921540260315
impr_B_n24_off09,1547.6,24,55.0,1.2,1.6,0.9,0.10292932706481717,4,0.29973704452630034,0.9076274277752786,poor,0.7818861603736877,0.8115745186805725,1.0123463869094849,1.115376591682434
impr_B_n24_off09,1549.2,24,55.0,1.2,1.6,0.9,0.10289909599357112,4,0.30907672554057297,0.9656489043975207,poor,0.6053801774978638,0.7619935870170593,1.0398563146591187,1.0768471956253052
impr_B_n24_off09,1550.8,24,55.0,1.2,1.6,0.9,0.10287523523686068,2,0.32712075031813154,0.8655496848906402,passing,1.0915931463241577,1.2611559629440308,0.5722200274467468,0.9303532838821411
impr_B_n24_off09,1552.4,24,55.0,1.2,1.6,0.9,0.10271830494632492,2,0.3772281781828288,0.9056559134558394,passing,0.6463837027549744,1.4420793056488037,1.3060276508331299,0.4283396303653717
impr_C_n24_p18,1547.6,24,55.0,1.2,1.8,0.9,0.10290216144604292,3,0.4731043290131129,0.545609323251296,general,0.9163607358932495,0.44291093945503235,1.6795181035995483,0.5112054347991943
impr_C_n24_p18,1549.2,24,55.0,1.2,1.8,0.9,0.10287198440499293,3,0.4187647364870528,0.7255528393478096,general,0.33380675315856934,1.0552469491958618,1.4544039964675903,0.6296236515045166
impr_C_n24_p18,1550.8,24,55.0,1.2,1.8,0.9,0.10284816624540391,1,0.30701922608140353,0.9244970878147932,passing,1.4796444177627563,0.9038600921630859,1.0679553747177124,1.3679269552230835
impr_C_n24_p18,1552.4,24,55.0,1.2,1.8,0.9,0.10270488522400976,3,0.41422972700784383,0.8902141692752387,passing,0.4262034595012665,1.3525731563568115,1.5193794965744019,0.36980733275413513
impr_D_n24_fpr70,1547.6,24,70.0,1.2,2.0,0.8,0.10655374104745423,3,0.3312119948806161,0.8968136523062948,passing,0.42644834518432617,0.8134763240814209,0.907073974609375,0.5916520953178406
impr_D_n24_fpr70,1549.2,24,70.0,1.2,2.0,0.8,0.1065143932072355,2,0.43442567906540563,0.6072254519723299,general,0.633560299873352,1.3765493631362915,0.322679340839386,0.8358758091926575
impr_D_n24_fpr70,1550.8,24,70.0,1.2,2.0,0.8,0.10648174348201087,3,0.342766247238165,0.8004172614623248,passing,0.717461884021759,0.8332412242889404,1.3882465362548828,1.1111764907836914
impr_D_n24_fpr70,1552.4,24,70.0,1.2,2.0,0.8,0.10627834136438251,4,0.4015004719818615,0.6809094041360502,general,1.0676374435424805,0.3129969835281372,1.1609628200531006,1.7050180435180664
