label,wavelength_nm,temperature_shift_K,output_count,array_pitch_um,output_pitch_um,output_offset_um,estimated_cost,dominant_output,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8
hf_4ch_1547.6nm,1547.6,0.0,4,1.5,2.0,0.0,0.07523184874726041,3,0.38963207602500916,1.145043969154358,1.1839759349822998,0.3981126844882965,,,,
hf_4ch_1549.2nm,1549.2,0.0,4,1.5,2.0,0.0,0.0742541449041833,3,0.8406873941421509,0.4478824734687805,1.003808617591858,0.6567956805229187,,,,
hf_4ch_1550.8nm,1550.8,0.0,4,1.5,2.0,0.0,0.07422950477770757,4,0.7654852271080017,0.4004264771938324,0.7562031149864197,0.9374927878379822,,,,
hf_4ch_1552.4nm,1552.4,0.0,4,1.5,2.0,0.0,0.07406050208058437,4,0.5076878070831299,0.43984419107437134,0.5491816401481628,0.8046926856040955,,,,
stretch_8ch_1550.0nm,1550.0,0.0,8,1.3,1.5,0.0,0.073602078211945,7,0.5497941970825195,1.0813349485397339,0.8807876706123352,0.640294075012207,1.0448633432388306,0.39512571692466736,1.1396516561508179,0.8501591086387634
stretch_temp_1560.0nm_plus40K,1550.8,40.0,4,1.5,2.0,0.0,0.07428927151006497,2,0.5036479234695435,1.2024686336517334,1.0058380365371704,0.4365885555744171,,,,
stretch_opt_1550.8nm,1550.8,0.0,4,1.2,1.6,0.6,0.07349206534335126,2,0.8974124789237976,1.2777948379516602,0.4097438156604767,0.1581009030342102,,,,
